=== Node 0/1 | Phase: pipeline | GPUs: [2, 3] ===
  REPO_DIR:    /mnt/cpfs/yurh/Infinigen-Sim
  DATA_DIR:    /mnt/cpfs/yurh
  BLENDER_BIN: /mnt/cpfs/yurh/blender-4.2.18-linux-x64/blender
  OUTPUT_DIR:  /mnt/cpfs/yurh/Infinigen-Sim/precompute_output
[Node 0/1] Phase setup: 0 new / 34065 total objects
[Node 0/1] Phase setup: done
[Node 0/1] Pipeline: 34065 PhysX + 1800 IS = 35865 objects, 2 GPUs
  [GPU2] SKIP  PhysXNet_PhysXnet/10000 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10007 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10016 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10003 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10012 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10015 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10005 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10026 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10017 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10025 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10010 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10023 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10034 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10037 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10046 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10021 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10036 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10042 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10045 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10040 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10048 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10035 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10066 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/1007 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10054 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10053 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10076 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10077 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10081 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10070 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10071 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10097 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10068 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10090 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10072 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10092 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10096 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10108 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10112 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10100 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10098 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10101 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10114 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10109 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10128 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10126 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10123 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10130 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10129 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10124 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10133 (already rendered)
  [GPU2] SKIP  PhysXNet_PhysXnet/10125 (already rendered)
  [GPU3] SKIP  PhysXNet_PhysXnet/10142 (already rendered)
